STATE NAME,DISTRICT NAME,PROJECT NAME,awc_count,total_active_0_6,total_measured_0_6,avg_efficiency_pct,suw_mean,sam_mean,mam_mean,meas_gt_active_count,eff_out_of_range_count,weighted_efficiency_pct,<60,60-80,80-95,95-<100,100,coverage_gap,awc_below_80,awc_below_95,operational_priority_score,coverage_gap_pct,awc_below_80_pct,awc_below_95_pct
Odisha,Jajapur,Jajpur,324,14856,14848,99.94734567901234,0.8676234567901235,0.11626543209876544,0.29867283950617285,0,0,99.94614970382337,0.0,0.0,1.0,6.0,317.0,8,0.0,1.0,1.8124613574263546,0.053850296176628974,0.0,0.30864197530864196
Odisha,Jajapur,Badachana-II,149,8130,8128,99.97469798657718,0.8274496644295302,0.3061073825503356,1.261275167785235,0,0,99.97539975399754,0.0,0.0,0.0,1.0,148.0,2,0.0,0.0,0.12300123001230011,0.02460024600246002,0.0,0.0
Odisha,Jajapur,Dasarathipur,311,12987,12984,99.98215434083602,1.1170739549839228,0.31340836012861734,1.7290032154340838,0,0,99.97689997689999,0.0,0.0,0.0,2.0,309.0,3,0.0,0.0,0.11550011550011549,0.023100023100023098,0.0,0.0
Odisha,Jajapur,Danagadi,201,11187,11185,99.97875621890547,2.6208955223880595,0.4990049751243781,3.0743781094527365,0,0,99.98212210601591,0.0,0.0,0.0,2.0,199.0,2,0.0,0.0,0.08938946992044337,0.017877893984088674,0.0,0.0
Odisha,Jharsuguda,JHARSUGUDA RURAL,158,4695,4688,99.80544303797468,2.431012658227848,1.7869620253164555,4.241772151898735,0,0,99.85090521831735,0.0,0.0,3.0,4.0,151.0,7,0.0,3.0,10.239144794489155,0.1490947816826411,0.0,1.89873417721519
Odisha,Jharsuguda,BRAJRAJNAGAR URBAN,95,3884,3872,99.80463157894738,0.9857894736842104,1.427578947368421,2.2754736842105263,0,0,99.69104016477857,0.0,0.0,1.0,2.0,92.0,12,0.0,1.0,6.807957070843948,0.30895983522142123,0.0,1.0526315789473684
Odisha,Jharsuguda,KIRMIRA,93,2103,2101,99.8816129032258,2.2475268817204297,1.7141935483870967,5.06978494623656,0,0,99.90489776509747,0.0,0.0,1.0,1.0,91.0,2,0.0,1.0,5.851855260534107,0.0951022349025202,0.0,1.0752688172043012
Odisha,Jharsuguda,LAKHANPUR,301,11011,11006,99.95664451827243,2.627906976744186,1.3796013289036544,3.557840531561462,0,0,99.95459086368177,0.0,0.0,1.0,3.0,297.0,5,0.0,1.0,1.8881752496974484,0.04540913631822723,0.0,0.33222591362126247
Odisha,Jharsuguda,JHARSUGUDA URBAN,97,6632,6632,100.0,1.0391752577319586,0.5303092783505154,0.952680412371134,0,0,100.0,0.0,0.0,0.0,0.0,97.0,0,0.0,0.0,0.0,0.0,0.0,0.0
Odisha,Kalahandi,Junagarh,248,16543,16484,99.79443548387097,1.8597983870967743,0.6056048387096774,3.177298387096774,0,0,99.64335368433778,0.0,1.0,0.0,5.0,242.0,59,1.0,1.0,11.863876739601391,0.35664631566221366,0.4032258064516129,0.4032258064516129
Odisha,Kalahandi,KALAMPUR,79,4888,4877,99.85025316455696,1.5268354430379747,0.7624050632911392,2.5234177215189875,0,0,99.77495908346971,0.0,0.0,1.0,0.0,78.0,11,0.0,1.0,7.454318506702024,0.22504091653027825,0.0,1.2658227848101267
Odisha,Kalahandi,Narla,156,9175,9159,99.84185897435897,2.060448717948718,0.7408974358974358,2.1237820512820513,0,0,99.82561307901906,0.0,0.0,1.0,7.0,148.0,16,0.0,1.0,4.077062810032837,0.17438692098092642,0.0,0.641025641025641
Odisha,Kalahandi,Th.Rampur,184,9915,9900,99.8541304347826,3.6973369565217395,1.0647282608695652,5.014782608695652,0,0,99.84871406959152,0.0,0.0,1.0,11.0,172.0,15,0.0,1.0,3.4738209563901865,0.15128593040847202,0.0,0.5434782608695652
Odisha,Kalahandi,jaipatna,172,11460,11456,99.94372093023256,2.510813953488372,0.4762790697674419,3.747267441860465,0,0,99.96509598603839,0.0,0.0,1.0,3.0,168.0,4,0.0,1.0,3.081496813994075,0.034904013961605584,0.0,0.5813953488372093
Odisha,Kandhamal,KOTAGARH,160,7532,7522,99.8385,1.7399999999999998,1.163,3.5675624999999997,0,0,99.8672331386086,0.0,0.0,2.0,4.0,154.0,10,0.0,2.0,6.913834306956984,0.1327668613913967,0.0,1.25
Odisha,Kandhamal,G.UDAYGIRI,114,2254,2253,99.9538596491228,2.2778947368421054,0.5363157894736842,3.9583333333333335,0,0,99.95563442768412,0.0,0.0,1.0,0.0,113.0,1,0.0,1.0,4.607792773860115,0.044365572315882874,0.0,0.8771929824561403
Odisha,Kandhamal,TIKABALI,141,3161,3159,99.9440425531915,2.289645390070922,0.7139716312056738,3.507659574468085,0,0,99.93672888326479,0.0,0.0,1.0,1.0,139.0,2,0.0,1.0,3.862454874456194,0.06327111673521038,0.0,0.7092198581560284
Odisha,Kandhamal,KHAJURIPADA,149,3736,3733,99.92241610738256,2.178993288590604,0.465503355704698,3.0268456375838926,0,0,99.91970021413277,0.0,0.0,1.0,1.0,147.0,3,0.0,1.0,3.757203627322766,0.08029978586723768,0.0,0.6711409395973155
Odisha,Kandhamal,CHAKAPAD,164,3258,3255,99.91402439024391,2.709512195121951,0.2940243902439024,3.0021951219512197,0,0,99.90791896869244,0.0,0.0,1.0,1.0,162.0,3,0.0,1.0,3.5091856443426312,0.09208103130755065,0.0,0.6097560975609756
Odisha,Kendrapara,MAHAKALPADA,311,13235,13233,99.98305466237942,0.597234726688103,0.45723472668810283,1.3817363344051448,0,0,99.98488855307896,0.0,0.0,0.0,2.0,309.0,2,0.0,0.0,0.07555723460521345,0.01511144692104269,0.0,0.0
Odisha,Kendrapara,KENDRAPADA,263,13619,13618,99.99574144486692,0.9595437262357415,0.5362737642585551,1.1644106463878328,0,0,99.99265731698362,0.0,0.0,0.0,1.0,262.0,1,0.0,0.0,0.03671341508187091,0.007342683016374182,0.0,0.0
Odisha,Kendrapara,PATTAMUNDAI,278,14064,14063,99.99122302158274,0.6469424460431654,0.516294964028777,1.0849280575539568,0,0,99.9928896473265,0.0,0.0,0.0,1.0,277.0,1,0.0,0.0,0.035551763367463025,0.007110352673492605,0.0,0.0
Odisha,Kendrapara,AUL,225,9429,9429,100.0,0.37208888888888886,0.5574222222222223,1.1961333333333333,0,0,100.0,0.0,0.0,0.0,0.0,225.0,0,0.0,0.0,0.0,0.0,0.0,0.0
Odisha,Kendrapara,DERABISH,224,8503,8503,100.0,0.709375,0.6809821428571429,1.290625,0,0,100.0,0.0,0.0,0.0,0.0,224.0,0,0.0,0.0,0.0,0.0,0.0,0.0
Odisha,Keonjhar,Champua,209,8274,8243,99.59291866028707,3.1540191387559813,1.5963636363636362,4.292679425837321,0,0,99.62533236644911,0.0,0.0,5.0,22.0,182.0,31,0.0,5.0,13.83506065579269,0.3746676335508823,0.0,2.3923444976076556
Odisha,Keonjhar,Patna,263,7733,7716,99.60167300380229,2.7029657794676805,0.6405703422053232,3.4672243346007603,0,0,99.78016293805767,1.0,0.0,0.0,1.0,261.0,17,1.0,1.0,10.604888731764856,0.21983706194232508,0.38022813688212925,0.38022813688212925
Odisha,Keonjhar,Keonjhar,343,15297,15275,99.83034985422739,4.282827988338193,0.8465597667638484,4.659999999999999,0,0,99.85618095051318,0.0,0.0,2.0,13.0,328.0,22,0.0,2.0,3.6345471424778695,0.14381904948682747,0.0,0.5830903790087464
Odisha,Keonjhar,Ghatgaon,261,9102,9099,99.96318007662835,3.3271647509578544,1.0356704980842912,5.95823754789272,0,0,99.96704021094264,0.0,0.0,1.0,1.0,259.0,3,0.0,1.0,2.080507757547286,0.03295978905735003,0.0,0.38314176245210724
Odisha,Keonjhar,Harachandanpur,290,12414,12408,99.95296551724138,8.16741379310345,1.3126206896551722,9.163103448275862,0,0,99.9516674722088,0.0,0.0,1.0,2.0,287.0,6,0.0,1.0,1.9658005699905003,0.04833252779120348,0.0,0.3448275862068966
Odisha,Khordha,Tangi,253,11152,11145,99.92173913043479,1.5002371541501975,0.8696442687747035,2.4443083003952566,0,0,99.93723098995696,0.0,0.0,2.0,5.0,246.0,7,0.0,2.0,4.266414220175682,0.0627690100430416,0.0,0.7905138339920948
Odisha,Khordha,CHILIKA,191,9378,9375,99.94429319371729,0.7516230366492147,0.48387434554973824,1.4255497382198952,0,0,99.96801023672425,0.0,0.0,1.0,1.0,189.0,3,0.0,1.0,2.7777498634991775,0.03198976327575176,0.0,0.5235602094240838
Odisha,Khordha,Begunia,236,7949,7943,99.93419491525424,1.5275,1.3808474576271186,2.755593220338983,0,0,99.92451880739715,0.0,0.0,1.0,2.0,233.0,6,0.0,1.0,2.4960500308108253,0.07548119260284313,0.0,0.423728813559322
Odisha,Khordha,BOLAGARH,228,7990,7988,99.97692982456141,1.0755701754385967,0.6760087719298246,2.031842105263158,0,0,99.97496871088862,0.0,0.0,1.0,0.0,227.0,2,0.0,1.0,2.3181389016972966,0.025031289111389236,0.0,0.43859649122807015
Odisha,Khordha,BANAPUR,289,10924,10921,99.98667820069204,0.9491349480968858,0.21792387543252598,1.1660207612456748,0,0,99.97253753203954,0.0,0.0,0.0,1.0,288.0,3,0.0,0.0,0.13731233980227023,0.027462467960454047,0.0,0.0
Odisha,Koraput,Semiliguda,194,5941,5938,99.9369587628866,2.613917525773196,0.6057731958762886,4.551752577319587,0,0,99.94950345059755,0.0,0.0,2.0,0.0,192.0,3,0.0,2.0,5.407121922270019,0.05049654940245749,0.0,1.0309278350515463
Odisha,Koraput,Narayan Patana,160,6681,6678,99.9375,1.4655625,0.520625,1.9614999999999998,0,0,99.95509654243376,0.0,0.0,1.0,0.0,159.0,3,0.0,1.0,3.349517287831163,0.044903457566232596,0.0,0.625
Odisha,Koraput,Nandapur,240,9210,9203,99.90533333333333,1.1848333333333334,0.28950000000000004,2.3175000000000003,0,0,99.92399565689468,0.0,0.0,1.0,3.0,236.0,7,0.0,1.0,2.463355048859935,0.07600434310532031,0.0,0.4166666666666667
Odisha,Koraput,Dasamantapur,264,9596,9594,99.97045454545454,3.173787878787879,0.47374999999999995,2.256666666666667,0,0,99.97915798249271,0.0,0.0,1.0,1.0,262.0,2,0.0,1.0,1.9981494814758676,0.020842017507294707,0.0,0.3787878787878788
Odisha,Koraput,Laxmipur,184,6716,6713,99.97538043478262,1.8872282608695652,0.5259239130434782,1.8401086956521737,0,0,99.95533055390113,0.0,0.0,0.0,2.0,182.0,3,0.0,0.0,0.22334723049434185,0.04466944609886837,0.0,0.0
Odisha,Malkangiri,KALIMELA,264,13123,13050,99.38128787878787,3.3347348484848487,0.9133712121212121,3.786060606060606,0,0,99.44372475805837,0.0,1.0,6.0,37.0,220.0,73,1.0,7.0,23.614709543041478,0.5562752419416293,0.3787878787878788,2.6515151515151514
Odisha,Malkangiri,MATHILI,215,10868,10836,99.64558139534883,4.3844651162790695,1.496,4.4663720930232556,0,0,99.70555760029444,0.0,0.0,3.0,20.0,192.0,32,0.0,3.0,8.4489561845743,0.2944423997055576,0.0,1.3953488372093024
Odisha,Malkangiri,KORUKONDA,177,8953,8934,99.80559322033898,4.029039548022599,0.8698870056497175,5.089661016949153,0,0,99.78778063219032,0.0,0.0,2.0,11.0,164.0,19,0.0,2.0,6.710814353172658,0.21221936780967274,0.0,1.1299435028248588
Odisha,Malkangiri,MALKANGIRI,250,13369,13356,99.90608,4.45864,1.6804000000000001,6.86912,0,0,99.90276011668786,0.0,0.0,2.0,4.0,244.0,13,0.0,2.0,4.4861994165607,0.09723988331214004,0.0,0.8
Odisha,Malkangiri,CHITRAKONDA,180,8531,8528,99.9625,5.775111111111111,1.0881666666666667,5.7396111111111106,0,0,99.9648341343336,0.0,0.0,0.0,3.0,177.0,3,0.0,0.0,0.17582932833196577,0.035165865666393153,0.0,0.0
